ticker,weight
IJH,0.0000
MCHI,0.0959
VGT,0.0011
XLK,0.0000
VEA,0.0000
QUAL,0.0000
VIG,0.0000
PHO,0.0000
VEU,0.0000
PAVE,0.0000
XLV,0.0000
XLY,0.0000
IJR,0.0000
VYM,0.0000
IBB,0.0000
VUG,0.0000
INDA,0.0000
ARKK,0.0000
NOBL,0.0000
VGSH,0.0503
XLU,0.0645
VNQ,0.0000
VXUS,0.0000
IWD,0.0000
MTUM,0.0257
ESGD,0.0000
DSI,0.0000
EWA,0.0000
FTSL,0.0050
JPST,0.0892
ESGV,0.0000
ICLN,0.0000
PBW,0.0000
IWF,0.0202
GRID,0.0000
EWT,0.0000
TAN,0.0000
VSS,0.0000
"IRLTLT01DEM156N_Deutschland_Bundesanleihen_6.250%_Jan_04,_2030_BU",0.0000
MOAT,0.0000
SCHD,0.0000
XLE,0.0000
VTV,0.0000
BBCA,0.0000
IPO,0.0000
AVUV,0.0000
ESGE,0.0000
MSOS,0.0000
EWW,0.0000
VGK,0.0000
VWO,0.0000
EWZ,0.0000
LCTU,0.1835
EMLC,0.0000
IWM,0.0000
XLC,0.0722
ESGU,0.0000
EMB,0.0000
JEPI,0.0000
FAN,0.0000
XLF,0.0000
RSP,0.0000
VOO,0.0000
COWZ,0.0000
QQQ,0.0000
VHT,0.0000
USMV,0.0000
VNQI,0.0000
VTEB,0.0000
VTI,0.0000
VT,0.0000
ITA,0.2421
XLB,0.0000
VO,0.0000
SMH,0.1504
DGRO,0.0000
XLP,0.0000
FALN,0.0000
XLI,0.0000
